Job Title,Organisation,Location,Category,Salary per month,Fraction,Contract Type,Views,OpeningDate,OpeningTime,ClosingDate,ClosingTime
Customer Insight and Value Data Analyst,Austin Benn,London,Finance and Accounting,3833,,Permanent,36831.82724695755,2012-05-26,15:00:00,2012-08-24,15:00:00
Corporate Treasury Assistant Manager,Goodman Masson Recruitment Services Ltd,London,Finance and Accounting,3750,,Permanent,36026.267260322,2013-01-23,15:00:00,2013-03-24,15:00:00
Credit Risk Analyst  Counterparty Risk,Goodman Masson Recruitment Services Ltd,The City,Finance and Accounting,3750,,Permanent,36047.53740034524,2013-08-07,15:00:00,2013-11-05,15:00:00
Senior Associate Internal Audit (Mandarin speaking),Campbell James Limited,London,Finance and Accounting,3750,,Permanent,36019.29621417114,2012-11-04,00:00:00,2013-01-03,00:00:00
Analyst  Tax Operations,Walker Hamill Ltd,London,Finance and Accounting,3600,,,34510.710863490545,2012-12-14,15:00:00,2013-01-13,15:00:00
Corporate Account Executive  East Midlands,Idex Consulting LLP,UK,Finance and Accounting,3333,,Permanent,31989.032216049876,2012-08-25,12:00:00,2012-11-23,12:00:00
Assistant Billing Manager  Chelmsford,Ambition Europe Limited,Chelmsford,Finance and Accounting,3125,,Permanent,29959.583978617826,2012-11-06,15:00:00,2012-12-06,15:00:00
Snr Trade and Commodity Finance Support,Cahill Personnel Ltd,London,Finance and Accounting,3333,,Contract,31985.551189232687,2013-08-02,12:00:00,2013-10-01,12:00:00
Assistant Accountant  Interim,Insight Recruitment Solutions Ltd,London,Finance and Accounting,3440,,Contract,33038.70582459982,2012-09-03,00:00:00,2012-09-17,00:00:00
Internal Auditor  Part qualified  Insurance,Jefferson Tiley Ltd,London,Finance and Accounting,3167,,Permanent,30445.63265705156,2013-08-24,12:00:00,2013-11-22,12:00:00
Senior PA / Secretary  (GERMAN SPEAKER),Brian Durham Recruitment Services Limited,The City,Finance and Accounting,3167,,Permanent,30441.56872706853,2013-04-09,00:00:00,2013-06-08,00:00:00
Executive Assistant to Head of Global Investment company,Jigsaw Recruiting Ltd,London,Finance and Accounting,2833,,Permanent,27222.049412449695,2013-08-29,15:00:00,2013-09-28,15:00:00
Junior Ruby Developer / Tester,Kennedy Pearce Consulting Ltd,The City,Information Technology,2083,,Permanent,19979.926577643,2013-09-18,15:00:00,2013-12-17,15:00:00
Sales Support Coordinator (Financial Services),The Oakland Partnership Limited,South West London,Finance and Accounting,2000,,Permanent,19158.725338249973,2013-06-14,12:00:00,2013-09-12,12:00:00
"Sales Consultant  Birmingham  Up to **** , ****  Bonus",Idex Consulting LLP,Birmingham,Finance and Accounting,1250,,Permanent,12000.821499404925,2012-08-08,12:00:00,2012-09-07,12:00:00
Trade Structured Finance Manager  Commodity Trader,LMA Recruitment Ltd,London,Finance and Accounting,6042,,Permanent,58040.01847403868,2013-11-17,12:00:00,2014-02-15,12:00:00
Senior Manager  AML and Client Relationship,Argyll Scott International Limited,London,Finance and Accounting,4375,,Permanent,41973.49441891512,2012-08-17,15:00:00,2012-09-16,15:00:00
Business Development Manager  Asset Finance  NW England,The Oakland Partnership Limited,North West England,Finance and Accounting,3542,,Permanent,34029.464470547144,2012-11-16,12:00:00,2012-12-16,12:00:00
FSA / BANK OF ENGLAND REPORTING OFFICER,Brian Durham Recruitment Services Limited,The City,Finance and Accounting,1750,,Permanent,16828.21840101669,2012-01-14,15:00:00,2012-04-13,15:00:00
Payroll / HR Officer,Brian Durham Recruitment Services Limited,Central London,Finance and Accounting,3167,,Permanent,30355.34657202453,2013-03-31,00:00:00,2013-05-30,00:00:00
Graduate trainee with intern exp,Next Employment Limited,London,Finance and Accounting,2083,,Permanent,20018.841165425478,2013-09-16,12:00:00,2013-10-16,12:00:00
Loans and Payments Supervisor,LMA Recruitment Ltd,City,Finance and Accounting,3333,,Contract,31973.456031438334,2012-07-29,12:00:00,2012-09-27,12:00:00
Information Security Manager  Financial Services / Public Sect,Oliver James Associates Limited,London,Information Technology,5833,,Permanent,55954.60863544349,2013-06-09,00:00:00,2013-07-09,00:00:00
Loans Closer,cer Financial,London,Finance and Accounting,6250,,Permanent,60033.67486093276,2012-03-29,15:00:00,2012-04-28,15:00:00
Senior Grade Trader,Austin Benn,London,Finance and Accounting,5500,,Permanent,52847.84074891772,2012-05-31,15:00:00,2012-08-29,15:00:00
Advanced Data Analytic Managers,Oliver James Associates Limited,The City,Information Technology,4792,,Permanent,45973.32374972372,2013-01-06,12:00:00,2013-04-06,12:00:00
KYC Remediation Analyst,Randstad Financial Professional Ltd,London,Finance and Accounting,5000,,Contract,48030.10463638684,2013-06-28,15:00:00,2013-07-12,15:00:00
Assistant Manager  Operations Fund Oversight,Ambition Europe Limited,The City,Finance and Accounting,4583,,Permanent,43961.78798498724,2012-01-30,12:00:00,2012-03-30,12:00:00
Information Security Consultants / Managers,Oliver James Associates Limited,UK,Information Technology,4167,,Permanent,39979.00316056302,2012-03-04,00:00:00,2012-04-03,00:00:00
Service Manager Corporate Banking,TalentFlow Ltd,London,Finance and Accounting,2500,,Permanent,24031.614634312555,2012-08-22,12:00:00,2012-10-21,12:00:00
Reinsurance Accounts Manager / Leader,Alexander Lloyd,London,Finance and Accounting,3750,,Permanent,36022.58433529089,2012-03-24,15:00:00,2012-06-22,15:00:00
Finance Analyst  Equities,Randstad Financial Professional Ltd,The City,Finance and Accounting,3958,,Permanent,37983.53712726868,2013-06-02,00:00:00,2013-08-31,00:00:00
Trainee Recruitment Consultant  Engineering IT,Reed Finance,Reading,Finance and Accounting,2375,,Permanent,22825.825359331437,2012-03-21,15:00:00,2012-06-19,15:00:00
Equity Settlements Dividends Processing,Rees Draper Wright Ltd,London,Finance and Accounting,2917,,Contract,28017.00320737886,2012-04-01,00:00:00,2012-04-15,00:00:00
MOTOR CLAIMS PROFESSIONALS REQUIRED,Clark James Ltd,UK,Finance and Accounting,2000,,Permanent,19184.141997808085,2013-08-05,12:00:00,2013-10-04,12:00:00
Claims Assistant,Plumstead Bond Limited,London,Finance and Accounting,2292,,,22026.33210296844,2013-11-15,12:00:00,2014-01-14,12:00:00
Executive Assistant with Sage 200,The Oakland Partnership Limited,Central London,Finance and Accounting,2292,,Permanent,21972.13971871468,2012-04-15,15:00:00,2012-07-14,15:00:00
Private Client Investment,Kennedy Pearce Consulting Ltd,The City,Finance and Accounting,1875,,Permanent,18016.129456529405,2012-11-23,12:00:00,2013-02-21,12:00:00
IT Permanent Recruitment  Researcher / Trainee Consultant,Morgan McKinley Group Limited,West End,Information Technology,1792,,Permanent,17187.64362867477,2013-12-20,15:00:00,2014-02-18,15:00:00
Sales Administrator/ Client Service Associate,Ambition Europe Limited,The City,Finance and Accounting,1750,,Permanent,16810.384167167067,2013-12-17,00:00:00,2014-01-16,00:00:00
Internal Audit Manager and Senior Manager,Reed Finance,London,Finance and Accounting,5833,,Permanent,55975.82372712514,2012-12-01,12:00:00,2012-12-31,12:00:00
Impairment and Capital Manager,Oliver James Associates Limited,London,Finance and Accounting,5750,,Permanent,55204.07194244721,2013-06-26,12:00:00,2013-07-26,12:00:00
Leading Gloabl Consultancy  Capital Markets Consultants,Concilium Finance Limited,London,Finance and Accounting,4708,,Permanent,45212.29328021178,2013-11-29,00:00:00,2014-01-28,00:00:00
Property Finance Manager,Goodman Masson Recruitment Services Ltd,The City,Finance and Accounting,5417,,Permanent,51959.76603535924,2012-04-23,12:00:00,2012-05-23,12:00:00
Credit Risk Senior Analyst,Oliver James Associates Limited,London,Finance and Accounting,5000,,Permanent,47989.05455043044,2013-10-01,00:00:00,2013-10-31,00:00:00
Compliance Associate,Badenoch Clark Ltd,The City,Finance and Accounting,5625,,Permanent,53956.96161184573,2012-04-28,15:00:00,2012-07-27,15:00:00
Business Analyst  OTC Pricing,Morgan McKinley Group Limited,London,Finance and Accounting,5417,,Permanent,51984.167476841685,2012-01-20,00:00:00,2012-04-19,00:00:00
Business Analyst  BAU and Change,Morgan McKinley Group Limited,London,Finance and Accounting,5000,,Permanent,47972.54467749888,2012-02-11,15:00:00,2012-04-11,15:00:00
Snr Relationship Executive  Fund Management  Fluent German,Incite Solutions Ltd,The City,Finance and Accounting,4375,,Permanent,42041.20743707225,2012-06-25,15:00:00,2012-07-25,15:00:00
Credit Risk Reporting Manager / Assistant Manager,cer Financial,London,Finance and Accounting,4167,,Permanent,40025.07772236232,2012-05-19,15:00:00,2012-08-17,15:00:00
IRD and Commodities Confirmations Specialists,Blayney Personnel Limited,London,Finance and Accounting,3958,,Permanent,37967.76076561211,2013-05-14,12:00:00,2013-08-12,12:00:00
Senior Financial Accountant Insurance,Oliver James Associates Limited,South East England,Finance and Accounting,4167,,Permanent,39983.05847559989,2013-04-07,12:00:00,2013-05-07,12:00:00
PPI Quality Assurer,Momenta Group Limited,London,Finance and Accounting,4200,,Contract,40344.636603278544,2013-11-13,15:00:00,2014-01-12,15:00:00
OTC Client Services,Kennedy Pearce Consulting Ltd,The City,Finance and Accounting,3958,,Permanent,38001.10418790716,2012-03-07,12:00:00,2012-05-06,12:00:00
Product Support Analyst,Mayford James Limited,London,Finance and Accounting,3750,,Permanent,36027.62141528344,2012-04-06,00:00:00,2012-05-06,00:00:00
Rent Accountant / Property Accountant,Reed Finance,The City,Finance and Accounting,3750,,Permanent,36039.74406175828,2012-07-06,12:00:00,2012-09-04,12:00:00
Cost Accountant  Supply Chain Finance,Walker Hamill Ltd,London,Finance and Accounting,3417,,Permanent,32810.31319769833,2013-04-08,12:00:00,2013-06-07,12:00:00
Assistant Assurance Manager,Oliver James Associates Limited,The City,Finance and Accounting,3333,,Contract,32004.213169285074,2012-01-04,12:00:00,2012-03-04,12:00:00
Internal Auditor and Senior Auditor,cer Financial,London,Finance and Accounting,3333,,Permanent,32037.13195359884,2012-01-12,15:00:00,2012-02-11,15:00:00
Lease Accountant,The Oakland Partnership Limited,London,Finance and Accounting,3542,,Permanent,34007.41425216036,2013-02-09,00:00:00,2013-04-10,00:00:00
KYC Remediation,The Ocean Partnership Limited,London,Finance and Accounting,4000,,Contract,38437.20450959419,2013-04-14,00:00:00,2013-04-28,00:00:00
Financial Crime Analyst (Compliance),Newedge,London,Finance and Accounting,2917,,Permanent,27990.19624434398,2013-07-25,15:00:00,2013-09-23,15:00:00
UK Direct Business Manager (Part time),Bruin Financial Limited,London,"PR, Advertising and Marketing",3333,Part Time,,31984.803110371373,2013-01-25,12:00:00,2013-02-08,12:00:00
Compliance Monitoring Adviser,Colyer Dodd and Company Limited,Bristol,Finance and Accounting,2667,,Permanent,25651.81493778961,2012-07-22,12:00:00,2012-09-20,12:00:00
Quality and Risk Advisor,Alexander Lloyd,Crawley,Finance and Accounting,2917,,Permanent,28012.42844325566,2012-06-28,15:00:00,2012-08-27,15:00:00
PROPERTY FINANCE SUPPORT,Brian Durham Recruitment Services Limited,The City,Finance and Accounting,1458,,Permanent,14025.204735254758,2013-03-29,15:00:00,2013-05-28,15:00:00
Senior Complaints Handler,Randstad Financial Professional Ltd,The City,Finance and Accounting,2708,,Permanent,25979.712139727617,2013-05-22,12:00:00,2013-06-21,12:00:00
Audit Senior  Top 20 firm,Reed Finance,Peterborough,Finance and Accounting,2375,,Permanent,22827.084355378287,2013-11-07,15:00:00,2013-12-07,15:00:00
Buy Side Sales Support  EMEA  London,Selby Jennings Ltd,London,Finance and Accounting,2500,,Permanent,23972.547816552888,2012-10-01,00:00:00,2012-11-30,00:00:00
Consultant  Executive Search (Recruitment)  Banking  Mayfair,Saul Partners,London,Finance and Accounting,2500,,Permanent,23956.584412251315,2012-01-24,00:00:00,2012-04-23,00:00:00
Junior Database Developer,Brian Durham Recruitment Services Limited,The City,Finance and Accounting,2333,,Permanent,22361.472779541404,2013-02-11,00:00:00,2013-03-13,00:00:00
Non Marine Broker Backup / Technician  Commercial Account Handler,Matador Recruitment,The City,Finance and Accounting,2250,,Permanent,21561.473589353387,2013-04-26,12:00:00,2013-05-26,12:00:00
ITALIAN  Broker Support,LMA Recruitment Ltd,London,Finance and Accounting,1625,,Permanent,15563.021488916258,2013-02-10,15:00:00,2013-03-12,15:00:00
"Senior Manager, Credit Risk ( Workouts)",Campbell James Limited,The City,Finance and Accounting,7917,,Permanent,76049.59185261675,2013-04-01,12:00:00,2013-05-01,12:00:00
Legal Compliance Regulatory Change Analyst,LMA Recruitment Ltd,City,Finance and Accounting,5500,,Contract,52797.17945846199,2012-10-30,15:00:00,2012-11-13,15:00:00
Physical Oil Settlements (Pricing ) Manager,Twenty Recruitment Ltd,London,Finance and Accounting,5000,,Permanent,47977.78433261791,2013-02-02,15:00:00,2013-04-03,15:00:00
Operational Due Diligence (ODD) Analyst,Livingston Edwards Ltd,London,Finance and Accounting,3958,,Permanent,37962.57503727589,2012-03-04,12:00:00,2012-05-03,12:00:00
IFRS Accountant,Ambition Europe Limited,The City,Finance and Accounting,4375,,Permanent,41959.82348739989,2013-11-30,12:00:00,2013-12-30,12:00:00
Associate Director Product and Support  (Cash Management),Brian Durham Recruitment Services Limited,The City,Finance and Accounting,2292,,Permanent,21983.72566644667,2013-04-02,15:00:00,2013-07-01,15:00:00
MANAGERS SENIOR MANAGERS,Brightpool,London,Finance and Accounting,2500,,Permanent,24020.091090096084,2013-09-08,15:00:00,2013-10-08,15:00:00
Senior Operational Risk Analyst (AVP),C.K.R. Recruitment Limited,London,Finance and Accounting,3750,,Permanent,36005.75781681212,2013-07-18,00:00:00,2013-09-16,00:00:00
Compliance Risk Manager  (Property Finance),Brian Durham Recruitment Services Limited,The City,Finance and Accounting,4167,,Permanent,39956.13526906775,2012-05-04,12:00:00,2012-08-02,12:00:00
Trade Finance Collateral Management,Twenty Recruitment Ltd,London,Finance and Accounting,1875,,Permanent,17993.236592370242,2012-10-06,15:00:00,2012-12-05,15:00:00
Client Reporting Executive,Badenoch Clark Ltd,The City,Finance and Accounting,3542,,Permanent,34035.10507058127,2012-04-21,15:00:00,2012-05-21,15:00:00
Retail Management Accountant,Kennedy Pearce Consulting Ltd,London,Finance and Accounting,3542,,Contract,33982.72434502472,2012-09-27,12:00:00,2012-10-27,12:00:00
FINANCIAL PLANNING CONSULTANT  PRIVATE CLIENTS,Montpellier Resourcing Ltd,The City,Finance and Accounting,1667,,Permanent,16035.514731295185,2013-09-11,12:00:00,2013-10-11,12:00:00
Credit Assistant Manager  Property Division,Monument Financial Recruitment Ltd,London,Finance and Accounting,2917,,Permanent,28038.975106649275,2013-04-02,15:00:00,2013-07-01,15:00:00
Shipping Officer,Monument Financial Recruitment Ltd,London,Finance and Accounting,2500,,Permanent,23958.15410858961,2012-12-27,00:00:00,2013-01-26,00:00:00
Change Management Business Analyst,Twenty Recruitment Ltd,London,Finance and Accounting,5417,,Permanent,51975.44898399191,2013-01-26,00:00:00,2013-04-26,00:00:00
Head of Business Modelling and Analysis,Reed Finance,The City,Finance and Accounting,6667,,Permanent,64029.0727324866,2012-09-13,00:00:00,2012-11-12,00:00:00
Equity Fund Research Analyst,MW Recruitment Ltd,London,Finance and Accounting,6250,,Permanent,59986.389112803314,2012-11-23,15:00:00,2013-01-22,15:00:00
Stress Testing Modeller,Ambition Europe Limited,The City,Finance and Accounting,5833,,Contract,56002.02588447653,2012-01-15,12:00:00,2012-01-29,12:00:00
Operations Systems Manager,Marks Sattin  Ltd,The City,Finance and Accounting,5417,,Permanent,51963.22523628078,2012-12-13,00:00:00,2013-03-13,00:00:00
"Product Control (CFO), Structured Equities, Associate / AVP",Goodman Masson Recruitment Services Ltd,London,Finance and Accounting,5208,,Permanent,49951.91415436463,2013-02-26,15:00:00,2013-03-28,15:00:00
Senior European Fund Accountant  Real Estate,Marks Sattin  Ltd,The City,Finance and Accounting,5000,,Permanent,48020.47617963611,2012-08-22,12:00:00,2012-10-21,12:00:00
"Associate, Transaction Management",C.K.R. Recruitment Limited,The City,Finance and Accounting,4792,,Permanent,45975.63060872456,2012-08-06,00:00:00,2012-11-04,00:00:00
Quantitative Analytics Manager,Kennedy Pearce Consulting Ltd,London,Finance and Accounting,4583,,Permanent,43998.603453953576,2012-02-13,15:00:00,2012-03-14,15:00:00
Senior Credit Manager  Asset Finance,The Oakland Partnership Limited,South East England,Finance and Accounting,3958,,Permanent,37973.62126131424,2013-04-01,00:00:00,2013-05-31,00:00:00
Work local  Stop commuting,Employment Specialists Ltd,UK,Finance and Accounting,3750,,Permanent,36000.88884413259,2012-06-10,12:00:00,2012-09-08,12:00:00
"Junior Analyst Developer (NET, C)",IPS Group Ltd,London,Finance and Accounting,4167,,Permanent,39965.38779081056,2012-06-15,15:00:00,2012-07-15,15:00:00
Senior Development Underwriter,Employment Specialists Ltd,UK,Finance and Accounting,3542,,Permanent,33988.963484475746,2013-09-29,15:00:00,2013-10-29,15:00:00
Stop commuting and work locally,Employment Specialists Ltd,UK,Finance and Accounting,3125,,Permanent,30013.327540416456,2013-06-26,00:00:00,2013-09-24,00:00:00
Trade Finance Officer  French Speaker,Kennedy Pearce Consulting Ltd,West End,Finance and Accounting,3125,,Permanent,29977.193636372147,2013-02-07,15:00:00,2013-04-08,15:00:00
Financial Accountant Film Media Company Supply Chain Team,Hewitson Walker,London,Finance and Accounting,3125,,,30035.414514829183,2012-09-02,15:00:00,2012-09-16,15:00:00
Sales Account Management Support,Randstad Financial Professional Ltd,London,Finance and Accounting,3200,,Contract,30683.13936280592,2012-09-16,00:00:00,2012-11-15,00:00:00
Banking Operations Officer,Venn Group Limited,London,Finance and Accounting,2292,,Permanent,21985.759252144104,2012-01-31,12:00:00,2012-04-30,12:00:00
PQ Management Accountant (**** month FTC),Argyll Scott International Limited,London,Finance and Accounting,2292,,Contract,22036.625288675525,2012-10-06,12:00:00,2012-11-05,12:00:00
MORTGAGE ADVISOR  LEADING IFA FIRM,Clark James Ltd,UK,Finance and Accounting,3125,,Permanent,29983.12645687211,2012-01-22,12:00:00,2012-03-22,12:00:00
MOTOR CLAIMS HANDLER  PERSONAL INJURY EXPERIENCE,Clark James Ltd,UK,Finance and Accounting,1708,,Permanent,16372.434567856868,2012-04-26,00:00:00,2012-07-25,00:00:00
Collections Analyst,Randstad Financial Professional Ltd,Southampton,Finance and Accounting,1520,,Contract,14552.385934015889,2013-08-10,00:00:00,2013-09-09,00:00:00
Global Head of Compliance / Director / London,PBR Construction LTD,London,Finance and Accounting,7500,,Permanent,71975.52864582073,2013-12-21,12:00:00,2014-02-19,12:00:00
"Internal Audit, Commodities, Investment Banking London",Morgan McKinley Group Limited,London,Finance and Accounting,7083,,Permanent,68002.82951940404,2013-04-07,15:00:00,2013-06-06,15:00:00
Commodity Broker  Diamond / Metals,Generation Resourcing Limited,The City,Finance and Accounting,6250,,Permanent,60037.14092392126,2013-07-03,00:00:00,2013-09-01,00:00:00
"Commodities Credit Officer, AVP",Morgan McKinley Group Limited,The City,Finance and Accounting,5417,,Permanent,52025.52093592653,2012-05-29,00:00:00,2012-06-28,00:00:00
VP Senior Operations,Badenoch Clark Ltd,UK,Finance and Accounting,4375,,Permanent,42022.997823835554,2012-05-30,00:00:00,2012-06-29,00:00:00
Financial Planner  Milton Keynes,Idex Consulting LLP,Buckinghamshire,Finance and Accounting,3333,,Permanent,32011.689270221897,2012-08-03,12:00:00,2012-09-02,12:00:00
Associate Director  Planning Group,Randstad Financial Professional Ltd,London,Finance and Accounting,3958,,Permanent,38006.93424357368,2012-07-14,15:00:00,2012-09-12,15:00:00
Cash Manager,Goodman Masson Recruitment Services Ltd,London,Finance and Accounting,3333,,Permanent,32005.5153476103,2013-11-25,00:00:00,2014-02-23,00:00:00
Media Communications Asset Management,Argyll Scott International Limited,London,Finance and Accounting,3125,,Permanent,30049.98420740608,2012-12-28,12:00:00,2013-03-28,12:00:00
TECHNICAL TRAINER  MOTOR CLAIMS  KENT,Clark James Ltd,London,Finance and Accounting,3000,,Permanent,28781.6791538234,2013-11-02,15:00:00,2014-01-01,15:00:00
Corporate Action Administrator,Ambition Europe Limited,The City,Finance and Accounting,2917,,Contract,28010.10823643236,2013-07-06,15:00:00,2013-07-20,15:00:00
Compliance Analyst  Financial Promotions,LMA Recruitment Ltd,City,Finance and Accounting,3060,,Contract,29392.372238460663,2012-06-14,15:00:00,2012-06-28,15:00:00
Modelling AnalystLloyds Underwriting (quantitative Ist degree),Taylor James Resourcing Limited,City,Finance and Accounting,2625,,Permanent,25188.70111729688,2012-03-04,00:00:00,2012-04-03,00:00:00
Personal Injury Claims Negotiator  Basingstoke,MW Appointments Ltd,Basingstoke,Finance and Accounting,2708,,Permanent,25965.55964033088,2012-11-27,15:00:00,2013-01-26,15:00:00
Compliants Investigator,Alexander Lloyd,UK,Finance and Accounting,2667,,Permanent,25616.832758480028,2013-04-21,12:00:00,2013-05-21,12:00:00
MOTOR CLAIMS COMPLAINTS TEAM LEADER,Clark James Ltd,UK,Finance and Accounting,2208,,Permanent,21184.377471013668,2013-02-02,00:00:00,2013-04-03,00:00:00
Assistant Accountant  ACCA / CIMA studier,Carnegie Consulting Ltd,London,Finance and Accounting,2417,,Permanent,23220.412218244877,2013-01-29,00:00:00,2013-02-28,00:00:00
MOTOR CLAIMS TEAM LEADER / MANAGER,Clark James Ltd,UK,Finance and Accounting,2083,,Permanent,19966.45996410387,2012-03-31,00:00:00,2012-05-30,00:00:00
Banking Customer Services Payments Clerk,LMA Recruitment Ltd,City,Finance and Accounting,2167,,Contract,20838.13476663724,2013-05-15,00:00:00,2013-07-14,00:00:00
"Senior Data Specialist: Sovereign Research and Ratings to **** , ****",JHA Recruitment Consultancy,London,Finance and Accounting,3125,,Permanent,29971.860722029047,2012-10-29,12:00:00,2012-12-28,12:00:00
Project Managers  Insurance,Marks Sattin  Ltd,London,Finance and Accounting,6042,,Permanent,57986.93402630518,2013-01-25,12:00:00,2013-02-24,12:00:00
Fund Data Manager  Marketing,Austin Benn,South East London,Finance and Accounting,5625,,Permanent,54037.26502272686,2013-07-09,00:00:00,2013-08-08,00:00:00
Origination  Syndication Loan Sales,Prime Personnel Services Ltd,The City,Finance and Accounting,5417,,Permanent,51987.09705647251,2013-07-09,00:00:00,2013-09-07,00:00:00
"Senior Manager, Operational Risk (612 month contract)",C.K.R. Recruitment Limited,The City,Finance and Accounting,4667,,Contract,44782.103709890456,2013-08-29,00:00:00,2013-09-12,00:00:00
IT Sourcing Manager (Hardware),Reed Purchasing,The City,Finance and Accounting,3958,,Permanent,38006.22428509537,2013-10-29,15:00:00,2014-01-27,15:00:00
Hedge Fund Trade Support and NAV,Twenty Recruitment Ltd,London,Finance and Accounting,3750,,Permanent,36015.79702090197,2012-10-13,15:00:00,2012-11-12,15:00:00
Shipping Aviation Portfolio Manager,Prime Personnel Services Ltd,London,Finance and Accounting,4480,,Contract,43003.15769621435,2012-11-23,15:00:00,2012-12-23,15:00:00
Credit Analyst  Oil Trading,Insight Professional Solutions Ltd,London,Finance and Accounting,3333,,Permanent,31955.456858525355,2012-11-05,12:00:00,2012-12-05,12:00:00
Equities Fixed Income Trade Support,Prime Personnel Services Ltd,The City,Finance and Accounting,3167,,Permanent,30373.92694073473,2013-04-26,00:00:00,2013-06-25,00:00:00
Technology Sales Executive  Superb Opportunity,The Oakland Partnership Limited,South West London,Information Technology,3583,,Permanent,34398.7589782654,2012-09-02,12:00:00,2012-11-01,12:00:00
Assistant Accountant  Financial Services,The Oakland Partnership Limited,South West London,Finance and Accounting,2208,,Permanent,21191.37714911977,2013-01-02,15:00:00,2013-02-01,15:00:00
Head of Finance  Insurance,Insight Recruitment Solutions Ltd,London,Finance and Accounting,5958,,Permanent,57226.73596179053,2013-07-30,15:00:00,2013-09-28,15:00:00
Business Development Manager  Fluent Chinese,Prime Personnel Services Ltd,West End,Finance and Accounting,5833,,Permanent,56038.33880265724,2013-12-16,12:00:00,2014-01-15,12:00:00
Risk Manager  Consumer Credit,C.K.R. Recruitment Limited,West Sussex,Finance and Accounting,4792,,Permanent,46010.1962810663,2012-06-21,15:00:00,2012-09-19,15:00:00
physical commodities,City East Recruitment Limited,London,Finance and Accounting,5000,,Contract,48040.80927800393,2013-03-19,15:00:00,2013-04-02,15:00:00
Internal audit manager  Change,Black Swan Associates Limited,The City,Finance and Accounting,4167,,Permanent,39970.163848398144,2013-01-05,00:00:00,2013-03-06,00:00:00
Treasury Accounting and Operations Manager,Experis Limited,Guildford,Finance and Accounting,3958,,Permanent,37964.6890283941,2012-09-11,12:00:00,2012-11-10,12:00:00
Senior FX Dealer with client base,Arthur Financial Ltd,The City,Finance and Accounting,3542,,Permanent,34050.50101814715,2013-02-16,12:00:00,2013-04-17,12:00:00
SENIOR PENSIONS / CLIENT SERVICES ASSOCIATE  DC (LONDON OUTSKIRTS),Montpellier Resourcing Ltd,South East England,Finance and Accounting,3333,,Permanent,32037.43066536894,2013-02-24,00:00:00,2013-05-25,00:00:00
Mergers Acquisitions Senior Manager Financial Services London,MDM Consultants Limited,London,Finance and Accounting,7500,,Permanent,71997.57051024995,2013-03-17,15:00:00,2013-05-16,15:00:00
"Manager  Senior Manager, Regulatory Risk Consulting",Goodman Masson Recruitment Services Ltd,The City,Finance and Accounting,6458,,Permanent,61987.359941007,2013-08-22,15:00:00,2013-11-20,15:00:00
Finance Compliance Director,Harrison Holgate,The City,Finance and Accounting,7500,,Permanent,72004.78205658725,2013-10-28,15:00:00,2013-11-27,15:00:00
Senior Expenses Manager,Oliver James Associates Limited,The City,Finance and Accounting,6250,,Permanent,59996.31972175762,2013-06-23,15:00:00,2013-07-23,15:00:00
Consultant  Credit Risk,Albany Beck Consulting Ltd,London,Finance and Accounting,5208,,Permanent,50008.63636598119,2012-11-24,12:00:00,2013-02-22,12:00:00
Capital Markets Management Accountant,Albany Beck Consulting Ltd,London,Finance and Accounting,4583,,Permanent,44004.54438287881,2012-11-17,15:00:00,2013-01-16,15:00:00
Covered Bonds Credit Analyst,Randstad Financial Professional Ltd,London,Finance and Accounting,5542,,Permanent,53170.92498293138,2013-12-29,15:00:00,2014-03-29,15:00:00
SENIOR BUSINESS BANKING RELATIONSHIP MANAGER  EXCELLENT OPPORTUNITY,The Oakland Partnership Limited,North London,Finance and Accounting,4167,,Permanent,39981.906734626216,2013-02-10,12:00:00,2013-03-12,12:00:00
Loans Analyst,Blayney Personnel Limited,London,Finance and Accounting,3542,,Permanent,34046.77867973753,2013-10-25,12:00:00,2013-12-24,12:00:00
Newly Qualified Associate,Reed Finance,London,Finance and Accounting,3542,,Permanent,33985.58402146447,2012-05-01,15:00:00,2012-06-30,15:00:00
Financial Control Officer  Regulatory Reporting,Hays Financial Markets,The City,Finance and Accounting,3333,,Permanent,31991.0699222577,2013-05-31,00:00:00,2013-08-29,00:00:00
Management Accountant  London,Morgan McKinley Group Limited,The City,Finance and Accounting,3250,,Contract,31221.762735160435,2012-11-11,12:00:00,2012-11-25,12:00:00
Risk Manager  FSA / Regulatory Frameworks,Incite Solutions Ltd,Bath,Finance and Accounting,3125,,Permanent,30003.3155164876,2013-03-26,15:00:00,2013-05-25,15:00:00
Relationship / Sales executive  Multilingual,C.K.R. Recruitment Limited,London,"PR, Advertising and Marketing",2500,,Permanent,23959.108917461283,2013-07-14,15:00:00,2013-09-12,15:00:00
Corporate Tax Compliance Client Service Administrator,Randstad Financial Professional Ltd,UK,Finance and Accounting,1560,,Contract,14955.826921162849,2012-02-18,15:00:00,2012-03-03,15:00:00
